Sr No.,Server,Services,Application Type,Complexity,Rewrite/Upgrade ,UpgradeAssistantServiceLog (Refere excelsheet Tabs),Path,Start Date ,End Date ,Development Sprint,Comment,Postman Collection,Blocker's,,Request ,Response
29,,personalertservice,API,Medium,C# + SP Migration,personalertservice,https://ccldev.visualstudio.com/StrategicServices/_versionControl?path=%24/StrategicServices/PersonAlert,04-07-2022,15-07-2022,,,,,,,
30,,personeventservice,API,Medium,C# + SP Migration,personeventservice,https://ccldev.visualstudio.com/StrategicServices/_versionControl?path=%24/StrategicServices/PersonEvent,04-07-2022,15-07-2022,,,,,,,
31,,personstatusservice,API,Medium,C# + SP Migration,personstatusservice,https://ccldev.visualstudio.com/StrategicServices/_versionControl?path=%24/StrategicServices/PersonStatus,04-07-2022,15-07-2022,,,,,,,
32,,reservationservice,API,High,C# + SP Migration,reservationservice,https://ccldev.visualstudio.com/StrategicServices/_versionControl?path=%24/StrategicServices/Reservation,04-07-2022,15-07-2022,,,,,,,
33,,shipservice,API,Medium,C# + SP Migration,shipservice,https://ccldev.visualstudio.com/StrategicServices/_versionControl?path=%24/StrategicServices/Ship,04-07-2022,15-07-2022,,,,,,,
34,,visitorservice,API,Medium,C# + SP Migration,visitorservice,https://ccldev.visualstudio.com/StrategicServices/_versionControl?path=%24/StrategicServices/Visitor,04-07-2022,15-07-2022,,,,,,,
35,,voyageservice,API,Medium,C# + SP Migration,voyageservice,https://ccldev.visualstudio.com/StrategicServices/_versionControl?path=%24/StrategicServices/Voyage,04-07-2022,15-07-2022,,,,,,,
36,api2a/2b,capturedmediaservice,API,High,C# + SP Migration,capturedmediaservice,https://ccldev.visualstudio.com/StrategicServices/_versionControl?path=%24/StrategicServices/CapturedMedia,18-07-2022,29-07-2022,,,,,,,
37,,guestimagingservice,API,High,C# + SP Migration,guestimagingservice,https://ccldev.visualstudio.com/DefaultCollection/Sherlock/_versionControl?path=%24/Sherlock/Dev/GuestImagingService,18-07-2022,29-07-2022,,,,,,,
38,,guestreferencephotoservice,API,High,C# + SP Migration,guestreferencephotoservice,https://ccldev.visualstudio.com/DefaultCollection/Sherlock/_versionControl?path=%24/Sherlock/Dev/ReferencePhotoUploadUtility,18-07-2022,29-07-2022,,,,,,,
39,,loginservice,API,Medium,C# + SP Migration,loginservice,,18-07-2022,29-07-2022,,,,,,,
42,app4,seams,Asp.net MVC Web,High,C# + SP Migration,seams web app,$/StrategicServices/Seams-Code/FHMACMS,18-07-2022,29-07-2022,,,,,,,
43,svc1/svc2,imagingwindowsservice,Windows Service,High,C# + SP Migration,imagingwindowsservice,https://ccldev.visualstudio.com/DefaultCollection/Sherlock/_versionControl?path=%24/Sherlock/Dev/ImageProcessingWindowsService,Phase2,Phase2,,,,,,,
44,,imageprocessingwindowsservice,Windows Service,High,C# + SP Migration,imageprocessingwindowsservice,https://ccldev.visualstudio.com/DefaultCollection/Sherlock/_versionControl?path=%24/Sherlock/Dev/ImageProcessingWindowsService,Phase2,Phase2,,,,,,,
45,,orderprocessingwindowsservice,Windows Service,High,C# + SP Migration,orderprocessingwindowsservice,,Phase2,Phase2,,,,,,,
46,dmzweb2,seamsapi,,Medium,,seamsapi,,18-07-2022,29-07-2022,,,,,,,
47,,weatherapi/Carnival.SeaMS.WeatherInfo,Library,Medium,C# + SP Migration,weatherapi,,18-07-2022,29-07-2022,,,,,,,
48,,ShoreExCacheService,Windows Service,Medium,Only C# Migration,Shoreex Cache Service,https://ccldev.visualstudio.com/DefaultCollection/StrategicServices/_versionControl?path=%24/StrategicServices/ShoreEx/SitecoreCacheService,18-07-2022,29-07-2022,,,,,,,
49,,"TurnStyle Middleware	",API,Low,Only C# Migration,TurnStyleGateway,https://ccldev.visualstudio.com/DefaultCollection/Middleware/_git/TurnStyleMiddleware,18-07-2022,29-07-2022,,,,,,,
50,,"Spa Cache Service	",Windows Service,Medium,Only C# Migration,SpaCacheService,https://ccldev.visualstudio.com/DefaultCollection/StrategicServices/_versionControl?path=%24/StrategicServices/Spa/SitecoreCacheService,Phase2,Phase2,,,,,,,
,,DataArchivalService,Windows Service,,,,,,Phase3,,,,,,,
,,ShipboardSynchronization Service,Windows Service,,,,,,Phase4,,,,,,,
,,Carnival.SeaMS.Replication.WindowsService,Windows Service,,,,,,,,,,,,,
,,Carnival.SeaMS.VoyageApi,Web Application,High,,Seams Voyage,Seams-Code\Carnival.SeaMS.VoyageApi,,,,,,,,,
